Player,BODY FAT,HEIGHT_NO_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,Year
Semi Ojeleye,5.50%,77.25,8' 6'',241.4,81.75,2017
Cameron Oliver,7.70%,79.0,8' 10.5'',238.6,85.25,2017
Justin Patton,7.80%,82.0,9' 3.5'',229.0,87.0,2017
Alec Peters,8.80%,79.25,8' 9'',232.0,82.75,2017
Ivan Rabb,6.80%,80.75,9' 1'',219.6,85.5,2017
Davon Reed,6.50%,76.5,8' 6'',206.2,84.0,2017
Devin Robinson,3.20%,79.0,8' 10'',189.6,84.75,2017
Kobi Simmons,5.00%,75.25,8' 3'',166.2,78.0,2017
Edmond Sumner,8.30%,76.0,8' 6.5'',176.4,81.0,2017
Caleb Swanigan,-%,79.5,9' 0'',245.6,87.0,2017
Sindarius Thornwell,7.80%,75.5,8' 7'',211.6,82.0,2017
Melo Trimble,10.60%,73.25,7' 11.5'',195.2,74.0,2017
Moritz Wagner,6.70%,82.0,9' 0'',231.2,84.0,2017
Derrick Walton,PG,107.0,0.75'' 7',11'',2269.2,2017
Thomas Welsh,10.90%,83.5,9' 1.5'',254.0,84.0,2017
Derrick White,6.20%,75.25,8' 5.5'',189.8,79.5,2017
Nigel Williams-Goss,5.60%,73.5,8' 3'',190.2,79.25,2017
D.J. Wilson,6.40%,80.75,9' 1.5'',234.4,87.0,2017
Omer Yurtseven,7.60%,82.5,9' 0.5'',248.4,85.0,2017
Rawle Alkins,8.90%,74.75,8' 3'',217.4,80.75,2018
Grayson Allen,5.55%,75.0,8' 1'',198.0,79.25,2018
Kostas Antetokounmpo,5.00%,81.0,9' 2'',194.8,86.25,2018
Udoka Azubuike,7.95%,82.0,9' 4.5'',273.8,91.0,2018
Mohamed Bamba,6.20%,83.25,9' 7.5'',225.6,94.0,2018
Jaylen Barford,11.65%,73.25,8' 0.5'',207.6,75.5,2018
Keita Bates-Diop,5.35%,79.25,8' 10.5'',223.8,87.25,2018
Tyus Battle,4.00%,77.0,8' 6'',200.2,81.0,2018
Brian Bowen,7.60%,78.25,8' 7.5'',202.0,82.25,2018
Miles Bridges,5.90%,77.25,8' 7.5'',220.4,81.5,2018
Bruce Brown,3.75%,75.5,8' 2.5'',194.6,81.0,2018
Troy Brown,7.05%,77.75,8' 9'',208.0,82.25,2018
Jalen Brunson,6.70%,73.0,8' 0'',198.4,76.0,2018
Tony Carr,6.50%,75.0,8' 4'',198.8,80.25,2018
Jevon Carter,4.15%,72.25,7' 11'',196.2,76.25,2018
Wendell Carter,7.85%,80.75,9' 1'',251.4,88.5,2018
Donte DiVincenzo,5.00%,75.5,8' 1.5'',200.6,78.0,2018
Hamidou Diallo,4.45%,76.25,8' 7'',197.0,83.5,2018
Trevon Duval,5.20%,73.5,8' 1.5'',191.0,80.25,2018
Carsen Edwards,6.30%,70.75,7' 10.5'',195.6,78.25,2018
Jacob Evans,6.50%,76.25,8' 6.5'',199.6,81.25,2018
Keenan Evans,6.50%,73.5,8' 2'',183.2,77.25,2018
Bruno Fernando,5.25%,80.75,9' 1'',233.2,88.25,2018
Melvin Frazier,7.90%,76.5,8' 9'',198.2,85.75,2018
Shai Gilgeous-Alexander,3.00%,76.5,8' 8'',180.0,83.5,2018
Devonte Graham,4.80%,72.25,8' 0'',186.4,78.25,2018
Isaac Haas,12.55%,85.25,9' 3.5'',303.0,89.0,2018
Devon Hall,8.45%,76.25,8' 6'',206.4,79.75,2018
Jaylen Hands,5.00%,73.5,8' 2'',179.0,77.5,2018
Kevin Hervey,5.15%,78.5,8' 11'',211.6,87.5,2018
Aaron Holiday,6.40%,71.75,8' 1'',187.0,79.5,2018
Kevin Huerter,8.60%,78.25,8' 5.5'',194.0,79.5,2018
Jaren Jackson,7.20%,81.75,9' 2'',236.0,89.25,2018
Justin Jackson,8.90%,78.0,8' 9'',229.4,87.0,2018
Alize Johnson,8.10%,79.25,8' 7'',216.6,80.75,2018
George King,7.25%,76.75,8' 5.5'',218.6,83.5,2018
Kevin Knox,4.95%,79.75,9' 0'',212.6,83.75,2018
Sagaba Konate,7.35%,78.5,8' 10.5'',246.0,84.0,2018
Caleb Martin,7.00%,76.75,8' 5.5'',195.8,82.0,2018
Cody Martin,5.45%,76.75,8' 6.5'',188.6,82.25,2018
Yante Maten,8.10%,79.25,8' 11.5'',246.2,84.5,2018
Brandon McCoy,8.70%,83.5,9' 2.5'',250.4,86.0,2018
DeAnthony Melton,5.20%,74.25,8' 3.5'',193.2,80.5,2018
Chimezie Metu,5.05%,80.5,9' 0'',219.6,84.5,2018
Shake Milton,6.80%,76.5,8' 3.5'',207.2,84.75,2018
Sviatoslav Mykhailiuk,8.45%,78.5,8' 4'',211.6,76.75,2018
Malik Newman,6.25%,74.5,8' 2.5'',189.2,77.5,2018
Josh Okogie,5.20%,75.0,8' 6'',210.8,84.0,2018
Theo Pinson,7.35%,77.0,8' 7.5'',211.2,82.75,2018
Jontay Porter,13.85%,82.0,9' 1'',236.0,84.25,2018
Michael Porter,6.40%,81.5,9' 0.5'',211.0,84.25,2018
Billy Preston,5.45%,80.75,9' 0'',222.4,86.0,2018
Jerome Robinson,6.05%,76.0,8' 2'',188.4,79.25,2018
Collin Sexton,5.60%,72.5,8' 2.5'',183.0,79.25,2018
Landry Shamet,4.85%,76.0,8' 4'',188.6,78.75,2018
Anfernee Simons,7.70%,74.25,8' 3.5'',183.2,81.25,2018
Zhaire Smith,6.05%,74.75,8' 4'',198.6,81.75,2018
Ray Spalding,5.55%,81.0,9' 1'',215.4,88.75,2018
Omari Spellman,13.75%,80.0,8' 11.5'',253.8,86.0,2018
Khyri Thomas,6.40%,74.5,8' 5'',198.8,82.5,2018
Gary Trent,7.00%,76.25,8' 2'',204.2,80.75,2018
Allonzo Trier,4.95%,75.75,8' 2'',198.0,78.75,2018
Moritz Wagner,6.75%,82.5,9' 0'',241.4,84.0,2018
Lonnie Walker,5.65%,75.75,8' 3.5'',196.2,82.25,2018
PJ Washington,6.85%,78.5,8' 11'',223.0,86.5,2018
Austin Wiley,5.00%,80.25,9' 3'',249.4,89.0,2018
Kris Wilkes,5.15%,78.5,8' 7.5'',205.0,82.25,2018
Kenrich Williams,5.95%,78.0,8' 7.5'',200.4,79.25,2018
Trae Young,5.35%,72.5,7' 11.5'',177.8,75.0,2018
