Player,BODY FAT,HEIGHT_NO_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,Year
Kendall Marshall,7.80%,75.25,8' 0'',198.4,77.5,2012
Fab Melo,9.20%,82.75,9' 2'',255.0,86.5,2012
Khris Middleton,7.80%,78.75,8' 7'',216.2,82.75,2012
Quincy Miller,7.80%,80.75,8' 9'',218.7,85.25,2012
Darius Miller,7.50%,78.0,8' 5'',233.4,81.0,2012
Tony Mitchell,5.70%,77.25,8' 4'',216.4,82.0,2012
Arnett Moultrie,7.70%,81.5,8' 10.5'',232.8,86.25,2012
Kevin Murphy,5.80%,77.0,8' 3'',194.0,78.75,2012
Andrew Nicholson,7.60%,80.5,8' 11'',234.0,88.0,2012
Kyle O'Quinn,8.00%,80.5,8' 10.5'',240.8,88.75,2012
Miles Plumlee,11.40%,82.5,8' 9.5'',252.4,84.75,2012
Austin Rivers,6.20%,75.5,8' 0.5'',202.8,79.25,2012
Thomas Robinson,5.00%,79.75,8' 10'',244.2,87.25,2012
Terrence Ross,3.20%,78.0,8' 4.5'',196.6,79.25,2012
Tomas Satoransky,5.20%,78.5,8' 4'',200.6,79.25,2012
Mike Scott,10.60%,79.25,8' 8'',240.8,82.75,2012
Henry Sims,7.70%,82.0,9' 0'',241.2,88.0,2012
Jared Sullinger,10.70%,79.75,8' 9.5'',268.2,85.25,2012
Jordan Taylor,5.50%,73.0,7' 8.5'',192.8,75.0,2012
Jeff Taylor,4.20%,78.0,8' 5.5'',212.8,78.25,2012
Tyshawn Taylor,4.20%,74.75,8' 1.5'',177.0,78.25,2012
Marquis Teague,6.30%,73.0,8' 0.5'',179.8,79.25,2012
Hollis Thompson,6.00%,78.75,8' 6.5'',206.0,81.5,2012
Dion Waiters,8.50%,74.5,8' 2'',221.0,79.25,2012
Royce White,10.60%,79.0,8' 8.5'',260.6,84.0,2012
Tony Wroten,5.20%,76.75,8' 5'',203.2,81.0,2012
Tyler Zeller,6.40%,83.25,8' 8.5'',247.4,84.0,2012
Steven Adams,6.65%,82.75,9' 1.5'',254.5,88.5,2013
Vander Blue,4.60%,75.5,8' 4.5'',197.4,78.0,2013
Lorenzo Brown,3.95%,76.0,8' 4'',189.2,79.0,2013
Reggie Bullock,6.95%,77.75,8' 6'',199.8,80.75,2013
Trey Burke,6.90%,71.75,8' 1.5'',187.0,77.5,2013
Kentavious Caldwell-Pope,6.45%,76.5,8' 4.5'',203.6,80.0,2013
Isaiah Canaan,5.90%,71.0,7' 10.5'',188.4,76.5,2013
Jackie Carmichael,5.80%,79.5,8' 11'',241.2,85.5,2013
Michael Carter-Williams,4.40%,76.75,8' 5'',184.4,79.25,2013
Will Clyburn,6.85%,77.75,8' 9'',210.4,84.25,2013
Robert Covington,4.70%,78.25,8' 10'',208.6,85.75,2013
